country,party_id,year,party_name_short,party_name,rename,English name,leader_name,coalition,reason,party_in_title,movement,ideology,alliance,family_name,family_name_short,left_right,state_market,liberty_authority,exclude,democratization,foundation_year,id
EST,25,1989,SK,Sõltumatud Kuningriiklased,Sõltumatud Kuningriiklased,Independent Royalists,0,0,foundation,No party in title,No reference,independent,0,Special issue,spec,NA,NA,NA,NA,IIIrd wave in EE,1989,1
CHE,26,1945,FDP,Freisinnig-Demokratische Partei,Freisinnig-Demokratische Partei,Free Democratic Party,0,0,foundation,Party in title,NA,liberal,0,Liberal,lib,6.3249000000000004,8.0105,3.4159000000000002,NA,Ist or IInd wave,1894,1
CHE,26,2009,FDP-PRD,FDP.Die Liberalen-PLR.Les Libéraux-Radicaux,FDP.Die Liberalen-PLR.Les Libéraux-Radicaux,FDP.The Liberals,0,0,LPS merged,Party in title,NA,liberal,0,Liberal,lib,6.3249000000000004,8.0105,3.4159000000000002,NA,Ist or IInd wave,1894,2
NOR,27,1945,NKP,Norges Kommunistiske Parti,Norges Kommunistiske Parti,Communist Party of Norway,0,0,foundation,Party in title,NA,communist,0,Communist/Socialist,com,1.3,1.4,3,NA,Ist or IInd wave,1923,1
NOR,27,1973,NKP,Norges Kommunistiske Parti,Norges Kommunistiske Parti,Communist Party of Norway,0,1,alliance,Party in title,NA,communist,1,Communist/Socialist,com,1.3,1.4,3,1,Ist or IInd wave,1923,2
LTU,28,1992,LLRA,Lietuvos lenkų rinkimų akcija,Lietuvos lenkų rinkimų akcija,Electoral Action of Poles in Lithuania,0,0,foundation,No party in title,No reference,Name of the region/ ethnic group,0,Special issue,spec,3.8650000000000002,3.9,7.3250000000000002,NA,IIIrd wave in EE,1992,1
CZE,29,1990,CNSP,Česká národně strana socialistická,Česká národně strana socialistická,Czech National Socialist Party,0,0,foundation,Party in title,NA,national-socialist,0,Right-wing,right,8.8000000000000007,5.9,8.5,NA,IIIrd wave in EE,1990,1
CZE,29,1995,CNSP,Česká národně strana socialistická,Svobodní demokraté – Liberální strana národně sociální,Free Democrats - Liberal National Social Party,0,0,merged with SD,Party in title,NA,national-socialist,0,Right-wing,right,8.8000000000000007,5.9,8.5,1,IIIrd wave in EE,1990,2
CZE,29,1997,CNSP,Česká národně strana socialistická,Česká strana národně sociální,Czech National Social Party,0,0,successor,Party in title,NA,national-socialist,0,Right-wing,right,8.8000000000000007,5.9,8.5,NA,IIIrd wave in EE,1990,3
CZE,29,2011,CNSP,Česká národně strana socialistická,Národní socialisté – levice 21. století,National Socialists - left of the 21st century,0,0,successor,No party in title,No reference,national-socialist,0,Right-wing,right,8.8000000000000007,5.9,8.5,NA,IIIrd wave in EE,1990,4
LVA,32,1993,TSP,Tautas Saskaņas Partija,Tautas Saskaņas Partija,National Harmony Party,0,0,foundation,Party in title,NA,Broad reference to values,0,Liberal,lib,1.8640000000000001,2.1751,5.2766999999999999,NA,IIIrd wave in EE,1993,1
LVA,32,1994,TSP,Tautas Saskaņas Partija,Tautsaimnieku politiskā apvienība,Political Union of Economists,0,0,split,Party in title,NA,Broad reference to values,0,Liberal,lib,1.8640000000000001,2.1751,5.2766999999999999,NA,IIIrd wave in EE,1993,2
LVA,32,2003,TSP,Tautas Saskaņas Partija,Tautas Saskaņas Partija,National Harmony Party,0,0,PCTVL joined,Party in title,NA,Broad reference to values,0,Liberal,lib,1.8640000000000001,2.1751,5.2766999999999999,1,IIIrd wave in EE,1993,3
CHE,35,1945,SP-PS,Sozialdemokratische Partei der Schweiz,Sozialdemokratische Partei der Schweiz,Social Democratic Party of Switzerland,0,0,foundation,Party in title,NA,social-democratic,0,Social democracy,soc,1.8319000000000001,1.7579,1.2281,NA,Ist or IInd wave,1888,1
CHE,35,1982,SP-PS,Sozialdemokratische Partei der Schweiz,Demokratisch-Soziale Partei,Democratic Social Party,0,0,split,Party in title,NA,social,0,Social democracy,soc,1.8319000000000001,1.7579,1.2281,NA,Ist or IInd wave,1888,2
LVA,42,1990,LTF,Latvijas Tautas fronte,Latvijas Tautas fronte,Popular Front of Latvia,0,0,foundation,No party in title,Front,Broad reference with country name,0,Special issue,spec,NA,NA,NA,NA,IIIrd wave in EE,1990,1
LVA,42,1993,LTF,Latvijas Tautas fronte,Latvijas Ceļš,Latvian Way,0,0,successor,No party in title,Front,Broad reference with country name,0,Special issue,spec,NA,NA,NA,NA,IIIrd wave in EE,1990,2
SVK,44,1992,KSS,Komunistická strana Slovenska,Komunistická strana Slovenska,Communist Party of Slovakia,0,0,foundation,Party in title,NA,communist,0,Communist/Socialist,com,0.52749999999999997,0.937,4.5301999999999998,NA,IIIrd wave in EE,1992,1
GRC,47,1974,ND,Néa Đimokratía,Néa Đimokratía,New Democracy,0,0,foundation,No party in title,No reference,Broad reference,0,Christian democracy,chr,6.7365000000000004,6.9754,6.6711999999999998,1,IIIrd wave in SE,1974,1
GRC,47,1978,ND,Néa Đimokratía,Néa Đimokratía,New Democracy,0,0,KN joined,No party in title,No reference,Broad reference,0,Christian democracy,chr,6.7365000000000004,6.9754,6.6711999999999998,1,IIIrd wave in SE,1974,2
GRC,47,2004,ND,Néa Đimokratía,Néa Đimokratía,New Democracy,0,0,POLAN joined,No party in title,No reference,Broad reference,0,Christian democracy,chr,6.7365000000000004,6.9754,6.6711999999999998,1,IIIrd wave in SE,1974,3
GRC,47,2012,ND,Néa Đimokratía,Néa Đimokratía,New Democracy,0,0,DISY joined,No party in title,No reference,Broad reference,0,Christian democracy,chr,6.7365000000000004,6.9754,6.6711999999999998,NA,IIIrd wave in SE,1974,4
AUT,50,1949,FPO,Freiheitliche Partei Österreichs,Verband der Unabhängigen,Federation of Independents,0,0,foundation,No party in title,Federation,independent,0,Right-wing,right,8.3493999999999993,6.3291,8.5149000000000008,NA,Ist or IInd wave,1949,1
AUT,50,1956,FPO,Freiheitliche Partei Österreichs,Freiheitliche Partei Österreichs,Freedom Party of Austria,0,0,renamed,Party in title,NA,liberal,0,Right-wing,right,8.3493999999999993,6.3291,8.5149000000000008,NA,Ist or IInd wave,1949,2
AUT,50,1995,FPO,Freiheitliche Partei Österreichs,Die Freiheitlichen,The Liberals,0,0,renamed,No party in title,No reference,liberal,0,Right-wing,right,8.3493999999999993,6.3291,8.5149000000000008,NA,Ist or IInd wave,1949,3
AUT,50,1999,FPO,Freiheitliche Partei Österreichs,Freiheitliche Partei Österreichs,Freedom Party of Austria,0,0,renamed,Party in title,NA,liberal,0,Right-wing,right,8.3493999999999993,6.3291,8.5149000000000008,NA,Ist or IInd wave,1949,4
BGR,57,2003,DSB,Demokrati za Silna Balgariya,Demokrati za Silna Balgariya,Democrats for a Strong Bulgaria,0,0,successor of SDS,No party in title,No reference,Broad reference with country name,0,Conservative,con,7.85,7.83,4.5,NA,IIIrd wave in EE,NA,1
BGR,57,2018,DSB|DB,Demokrati za Silna Balgariya | Demokratichna Balgariya,Demokrati za Silna Balgariya | Demokratichna Balgariya,Democrats for a Strong Bulgaria | Democratic Bulgaria,0,1,alliance,No party in title,No reference,democracy,1,Liberal,lib,7.85,NA,NA,NA,IIIrd wave in EE,NA,2
FRA,59,1962,IR|DL,Républicains Indépendants | Démocratie libérale,Républicains Indépendants,Independent Republicans,0,0,split from CNIP,No party in title,No reference,republican,0,Conservative,con,7.0576999999999996,7.7993,6.1742999999999997,NA,Ist or IInd wave,NA,1
FRA,59,1977,IR|DL,Independants républicains | Démocratie libérale,Parti républicain,Republican Party,0,0,renamed,Party in title,NA,republican,0,Conservative,con,7.0576999999999996,7.7993,6.1742999999999997,NA,Ist or IInd wave,NA,2
FRA,59,1978,IR|DL,Parti républicain,Union pour la démocratie française,Union for French Democracy,0,0,merged,Party in title,NA,republican,0,Conservative,con,7.0576999999999996,7.7993,6.1742999999999997,NA,Ist or IInd wave,NA,3
FRA,59,1998,IR|DL,Parti républicain,Démocratie libérale,Liberal Democracy,0,0,renamed,No party in title,No reference,liberal,0,Conservative,con,7.0576999999999996,7.7993,6.1742999999999997,NA,Ist or IInd wave,NA,4
FRA,59,2002,IR|DL,Démocratie libérale,Union pour un mouvement populaire,Union for a Popular Movement,0,0,merged,No party in title,No reference,liberal,0,Conservative,con,7.0576999999999996,7.7993,6.1742999999999997,NA,Ist or IInd wave,NA,5
BEL,63,1946,LP-PL,Liberale Partij – Parti libéral,Liberale Partij – Parti libéral,Liberal Party,0,0,foundation,Party in title,NA,liberal,0,Liberal,lib,6,6.7,3.6,NA,Ist or IInd wave,1946,1
BEL,63,1961,LP-PL,Liberale Partij – Parti libéral,Partij voor Vrijheid en Vooruitgang – Parti de la Liberté et du Progrès,Party for Freedom and Progress,0,0,renamed,Party in title,NA,liberal,0,Liberal,lib,6,6.7,3.6,NA,Ist or IInd wave,1946,2
SVK,64,2002,SDA,Sociálnodemokratická alternatíva,Sociálnodemokratická alternatíva,Social Democratic Alternative,0,0,split,No party in title,Alternative,social-democratic,0,Social democracy,soc,3.0526,2.5965,1.7544,NA,IIIrd wave in EE,NA,1
ITA,67,1994,CeD,Centro-destra,Polo delle Libertà,Pole of Freedoms,0,1,alliance,No party in title,pole,liberal,1,Conservative,con,7.4,6.4,7,NA,Ist or IInd wave,NA,1
ITA,67,1996,CeD,Centro-destra,Polo per le Libertà,Pole for Freedoms,0,1,alliance,No party in title,pole,liberal,1,Conservative,con,7.4,6.4,7,NA,Ist or IInd wave,NA,2
ITA,67,2000,CeD,Centro-destra,Casa delle Libertà,House of Freedoms,0,1,alliance,No party in title,house,liberal,1,Conservative,con,7.4,6.4,7,1,Ist or IInd wave,NA,3
ITA,67,2001,CeD,Centro-destra,Casa delle Libertà,House of Freedoms,0,1,alliance,No party in title,house,liberal,1,Conservative,con,7.4,6.4,7,NA,Ist or IInd wave,NA,4
ITA,67,2008,CeD,Centro-destra,Il Popolo della Libertà (PdL),The People of Freedom,0,1,alliance,No party in title,No reference,liberal,1,Conservative,con,7.4,6.4,7,NA,Ist or IInd wave,NA,5
ITA,67,2012,CeD,Centro-destra,Coalizione di Centro Destra,Centre-right coalition,0,1,"alliance between Forza Italia, Lega, Fratelli d'Italia, Noi con l'Italia-UDC",No party in title,Coalition,right,1,Conservative,con,7.4,6.4,7,1,Ist or IInd wave,NA,6
NOR,81,1972,SV,Sosialistisk Venstreparti,Demokratiske Sosialister,Democratic Socialists,0,0,split from D N A,Party in title,NA,socialist,0,Communist/Socialist,com,1.5839000000000001,1.3534,1.5038,NA,Ist or IInd wave,NA,1
NOR,81,1973,SV,Sosialistisk Venstreparti,Sosialistisk Valgforbund,Socialist Electoral Union,0,1,alliance,No party in title,Union,socialist,0,Communist/Socialist,com,1.5839000000000001,1.3534,1.5038,NA,Ist or IInd wave,NA,2
NOR,81,1975,SV,Sosialistisk Venstreparti,Norges Kommunistiske Parti,Communist Party of Norway,0,0,split,Party in title,NA,left,0,Communist/Socialist,com,1.5839000000000001,1.3534,1.5038,NA,Ist or IInd wave,NA,3
IRL,92,1946,CnP,Clann na Poblachta,Clann na Poblachta,Children of the Republic,0,0,foundation,No party in title,No reference,republican,0,Conservative,con,7.4,6.4,7,NA,Ist or IInd wave,1946,1
ITA,93,1945,PRI,Partito Repubblicano Italiano,Partito Repubblicano Italiano,Italian Republican Party,0,0,foundation,Party in title,NA,republican,0,Liberal,lib,4.9703999999999997,5.8,5.1666999999999996,NA,Ist or IInd wave,1895,1
ITA,93,2011,PRI,Partito Repubblicano Italiano,Partito Repubblicano Italiano,Italian Republican Party,0,0,MRE joined,Party in title,NA,republican,0,Liberal,lib,4.9703999999999997,5.8,5.1666999999999996,1,Ist or IInd wave,1895,2
FIN,94,1945,KESK,Keskusta,Maalaisliitto,Agrarian League,0,0,foundation,No party in title,league,agrarian,0,NA,NA,NA,NA,NA,NA,Ist or IInd wave,1906,1
FIN,94,1965,KESK,Keskusta,Keskustapuolue – Centerpartiet,Centre Party,0,0,renamed,Party in title,NA,Broad reference,0,Agrarian,agr,5.8026999999999997,4.9349,7.2202999999999999,NA,Ist or IInd wave,1906,2
FIN,94,1982,KESK,Keskusta,Keskustapuolue – Centerpartiet,Centre Party,0,0,LKP joined,Party in title,NA,Broad reference,0,Agrarian,agr,5.8026999999999997,4.9349,7.2202999999999999,NA,Ist or IInd wave,1906,3
FIN,94,1988,KESK,Keskusta,Suomen Keskusta – Centern i Finland,Centre of Finland,0,0,renamed,No party in title,centre,Broad reference with country name,0,Agrarian,agr,5.8026999999999997,4.9349,7.2202999999999999,NA,Ist or IInd wave,1906,4
HUN,95,1993,MIEP,Magyar Igazság és Élet Pártja,Magyar Igazság és Élet Pártja,Hungarian Justice and Life Party,0,0,foundation,Party in title,NA,Broad reference to values,0,Right-wing,right,9.6065000000000005,3.807,9.5893999999999995,NA,IIIrd wave in EE,1993,1
ITA,99,1994,CCD,Centro Cristiano Democratico,Centro Cristiano Democratico,Christian Democratic Centre,0,0,split from DC,No party in title,centre,christian-democratic,0,Christian democracy,chr,5.9066999999999998,5.1167,7.5833000000000004,NA,Ist or IInd wave,NA,1
NOR,104,1945,"""DNA""",Det norske Arbeiderparti,Det norske Arbeiderparti,The Norwegian Labour Party,0,0,foundation,Party in title,NA,labour,0,Social democracy,soc,3.3706,2.9574,2.7105000000000001,NA,Ist or IInd wave,1887,1
NOR,104,1961,"""DNA""",Det norske Arbeiderparti,Sosialistisk Folkeparti,Socialist People's Party,0,0,split,Party in title,NA,labour,0,Social democracy,soc,3.3706,2.9574,2.7105000000000001,NA,Ist or IInd wave,1887,2
NOR,104,2013,"""DNA""",Det norske Arbeiderparti,Arbeiderpartiet,Labour Party,0,0,renamed,Party in title,NA,labour,0,Social democracy,soc,3.3706,2.9574,2.7105000000000001,NA,Ist or IInd wave,1887,3
PRT,107,1974,PPM,Partido Popular Monárquico,Partido Popular Monárquico,People's Monarchist Party,0,0,foundation,Party in title,NA,monarchist,0,Right-wing,right,7.4,NA,NA,NA,IIIrd wave in SE,1974,1
PRT,107,1979,PPM,Aliança Democrática,Aliança Democrática,Democratic Alliance,0,0,"merger of PSD, CDS, PPM",No party in title,Alliance,democratic,1,Liberal,lib,6,6.7,3.6,1,IIIrd wave in SE,1974,2
POL,108,1988,Solidarność,"Komitet Obywatelski ""Solidarność""","Komitet Obywatelski ""Solidarność""",Solidarity Citizens' Committee,0,0,foundation,No party in title,committee,Broad reference to values,0,Social democracy,soc,3.3,3.5,3.5,NA,IIIrd wave in EE,1988,1
POL,109,1994,KPEiR,Krajowa Partia Emerytów i Rencistów,Krajowa Partia Emerytów i Rencistów,National Party of Pensioners and Retired,0,0,foundation,Party in title,NA,social group,0,Social democracy,soc,NA,NA,NA,NA,IIIrd wave in EE,1994,1
NLD,112,1993,AOV|VSP,Algemeen Ouderen Verbond|Verenigde Senioren Partij,Algemeen Ouderen Verbond|Unie 55+,General Elderly Alliance|Union 55+,0,1,alliance,No party in title,Alliance/Union,social group,1,Special issue,spec,NA,NA,NA,NA,Ist or IInd wave,NA,1
NLD,112,1998,AOV|VSP,Algemeen Ouderen Verbond|Verenigde Senioren Partij,Ouderenunie,Elders Union,0,0,merge,No party in title,Union,social group,0,Special issue,spec,NA,NA,NA,NA,Ist or IInd wave,NA,2
NLD,112,2001,AOV|VSP,Algemeen Ouderen Verbond|Verenigde Senioren Partij,Verenigde Senioren Partij,United Seniors Party,0,0,renamed,Party in title,NA,social group,0,Special issue,spec,NA,NA,NA,NA,Ist or IInd wave,NA,3
EST,113,1994,Ere,Eesti Reformierakond,Eesti Reformierakond,Estonian Reform Party,0,0,split from RKI,Party in title,NA,Broad reference with country name,0,Liberal,lib,7.8968999999999996,8.6246,5.2736999999999998,NA,IIIrd wave in EE,NA,1
ESP,118,1977,PCE|IU,Partido Communista | Izquierda Unida,Partido Comunista de España,Communist Party of Spain,0,0,foundation,Party in title,NA,communist,0,Communist/Socialist,com,2.0183,1.8937,1.7351000000000001,NA,IIIrd wave in SE,1977,1
ESP,118,1986,PCE|IU,Partido Communista | Izquierda Unida,Izquierda Unida,United Left,0,1,"alliance between PCPE, FP, PSUC",No party in title,Unity,left,1,Communist/Socialist,com,2.0183,1.8937,1.7351000000000001,NA,IIIrd wave in SE,1977,2
ESP,118,1989,PCE|IU,Partido Communista | Izquierda Unida,Izquierda Unida,United Left,0,1,"alliance between PSUC, PASOC",No party in title,Unity,left,1,Communist/Socialist,com,2.0183,1.8937,1.7351000000000001,1,IIIrd wave in SE,1977,3
ESP,118,1996,PCE|IU,Partido Communista | Izquierda Unida,Izquierda Unida,United Left,0,1,"alliance between PSUC, PDNI, PASOC",No party in title,Unity,left,1,Communist/Socialist,com,2.0183,1.8937,1.7351000000000001,1,IIIrd wave in SE,1977,4
ESP,118,2000,PCE|IU,Partido Communista | Izquierda Unida,Izquierda Unida,United Left,0,1,PCE split,No party in title,Unity,left,0,Communist/Socialist,com,2.0183,1.8937,1.7351000000000001,1,IIIrd wave in SE,1977,5
ESP,118,2011,PCE|IU,Partido Communista | Izquierda Unida,Izquierda Unida,United Left,0,1,"alliance between PCE, UJCE, IzAb, PCC",No party in title,Unity,left,1,Communist/Socialist,com,2.0183,1.8937,1.7351000000000001,1,IIIrd wave in SE,1977,6
ESP,118,2015,PCE|IU,Partido Communista | Izquierda Unida,Unidad Popular,Popular Unity,0,1,"alliance between IU, Unidad Popular en Común, CHA, Izquierda Asturiana, Batzarre-Asamblea de Izquierdas, Construyendo la Izquierda-Alternativa Socialista, Segoviemos, Izquierda Castellana, Entre Tod@s Sí Se Puede Córdoba",No party in title,Unity,anti-elitism,1,Communist/Socialist,com,2.0183,1.8937,1.7351000000000001,NA,IIIrd wave in SE,1977,7
ESP,118,2023,SMR,Sumar,Sumar,Unite,0,1,alliance,No party in title,NA,Broad reference with action verb,1,NA,NA,NA,NA,NA,NA,IIIrd wave in SE,1977,8
ITA,128,1995,CDU,Cristiani Democratici Uniti,Cristiani Democratici Uniti,United Christian Democrats,0,0,split from PPI,No party in title,Union,christian-democratic,0,Christian democracy,chr,6.1666999999999996,5.145,7.7583000000000002,NA,Ist or IInd wave,NA,1
ITA,128,1996,CDU,Cristiani Democratici Uniti,Polo per le Libertà,Pole for Freedoms,0,1,"alliance between CDU, CCD, AN, FI",No party in title,Pole,liberal,1,Christian democracy,chr,6.1666999999999996,5.145,7.7583000000000002,NA,Ist or IInd wave,NA,2
ITA,128,1997,CDU,Cristiani Democratici Uniti,Cristiani Democratici Uniti + Centro Cristiano Democratico,United Christian Democrats + Christian Democratic Centre,0,1,split from alliance,No party in title,Union,christian-democratic,1,Christian democracy,chr,6.1666999999999996,5.145,7.7583000000000002,NA,Ist or IInd wave,NA,3
ITA,128,1998,CDU,Cristiani Democratici Uniti,Unione Democratica per la Repubblica,Democratic Union for the Republic,0,1,alliance,No party in title,Union,christian-democratic,1,Christian democracy,chr,6.1666999999999996,5.145,7.7583000000000002,1,Ist or IInd wave,NA,4
ITA,128,2001,CDU,Cristiani Democratici Uniti,Casa della Libertà,House of Freedoms,0,1,"alliance between Lega Nord, Forza Italia, AN, CCD, CDU, Nuovo PSI, PRI",No party in title,house,liberal,1,Christian democracy,chr,6.1666999999999996,5.145,7.7583000000000002,1,Ist or IInd wave,NA,5
ITA,128,2002,CDU,Cristiani Democratici Uniti,Union of the Centre,Union of the Centre,0,0,"merger of CCD, CDU, DE",No party in title,Union,christian-democratic,0,Christian democracy,chr,6.1666999999999996,5.145,7.7583000000000002,1,Ist or IInd wave,NA,6
SVK,131,2000,SDKU-DS,Slovenská demokratická a kresťanská únia – Demokratická strana,Slovenská demokratická a kresťanská únia,Slovak Democratic and Christian Union,0,0,"split from KDH, successor of SDK, merged with DUS",No party in title,Union,christian,0,Christian democracy,chr,7.3590999999999998,7.4401,5.0433000000000003,NA,IIIrd wave in EE,NA,1
SVK,131,2006,SDKU-DS,Slovenská demokratická a kresťanská únia – Demokratická strana,Slovenská demokratická a kresťanská únia – Demokratická strana,Slovak Democratic and Christian Union – Democratic Party,0,0,DS joined,Party in title,NA,christian,0,Christian democracy,chr,7.3590999999999998,7.4401,5.0433000000000003,NA,IIIrd wave in EE,NA,2
ESP,135,1977,UCD,Unión de Centro Democrático,Unión de Centro Democrático,Union of the Democratic Centre,0,0,successor of EDC,No party in title,Union,centrist,0,Liberal,lib,7.1,6.7,3.6,NA,IIIrd wave in SE,NA,1
DEU,137,1945,DZ,Deutsche Zentrumspartei,Deutsche Zentrumspartei,German Centre Party,0,0,foundation,Party in title,NA,centrist,0,Special issue,spec,NA,NA,NA,NA,Ist or IInd wave,1870,1
DEU,137,1952,DZ,Deutsche Zentrumspartei,Gesamtdeutsche Volkspartei,Gesamtdeutsche Volkspartei,0,0,split,Party in title,NA,centrist,0,Christian democracy,chr,6.2,5.7,7.1,1,Ist or IInd wave,1870,2
FRA,138,1976,RPR,Rassemblement pour la république,Rassemblement pour la République,Rally for the Republic,0,0,successor of UDR/UNR,No party in title,Rally,Broad reference,0,Conservative,con,7.4996999999999998,6.5934,7.1853999999999996,NA,Ist or IInd wave,NA,1
FRA,138,1981,RPR,Rassemblement pour la république,Union de la Nouvelle Majorité,Union for a new majority,0,1,"alliance between RPR, UDF",No party in title,Union,Broad reference,1,Conservative,con,7.4996999999999998,6.5934,7.1853999999999996,NA,Ist or IInd wave,NA,2
FRA,138,1990,RPR,Rassemblement pour la république,Union pour la France,Union for France,0,1,"alliance between RPR, UDF",No party in title,Union,Broad reference with country name,1,Conservative,con,7.4996999999999998,6.5934,7.1853999999999996,1,Ist or IInd wave,NA,3
CHE,141,1971,Grue,Grüne – Écologiste,Grüne,Green,0,0,foundation,No party in title,green,green,0,Green/Ecologist,eco,1.6886000000000001,1.7263,1.0316000000000001,NA,Ist or IInd wave,1971,1
CHE,141,1983,Grue,Grüne – Écologiste,Föderation der Grünen Parteien der Schweiz – Federation Suisse des Partis Ecologistes,Federation of Green Parties in Switzerland,0,0,renamed,Party in title,NA,green,0,Green/Ecologist,eco,1.6886000000000001,1.7263,1.0316000000000001,NA,Ist or IInd wave,1971,2
CHE,141,1987,Grue,Grüne – Écologiste,Grüne Partei der Schweiz – Parti écologiste suisse,Green Party of Switzerland,0,0,renamed,Party in title,NA,green,0,Green/Ecologist,eco,1.6886000000000001,1.7263,1.0316000000000001,NA,Ist or IInd wave,1971,3
CHE,141,2021,Grue,Grüne – Écologiste,Grüne Schweiz - Les Vert-e-s suisses,Greens Switzerland,0,0,renamed,No party in title,green,green,0,NA,NA,NA,NA,NA,NA,Ist or IInd wave,1971,4
ITA,142,1994,PPI,Partito Popolare Italiano,Partito Popolare Italiano,Italian People's Party,0,0,foundation,Party in title,NA,Broad reference with country name,0,Christian democracy,chr,4.6266999999999996,4.105,5.8567,1,Ist or IInd wave,1994,1
SVN,143,1991,DS,Demokratska stranka,Demokratska stranka,Democratic Party,0,0,split from SDZ,Party in title,NA,democratic,0,Social democracy,soc,3.3,3.5,3.5,NA,IIIrd wave in EE,NA,1
SVN,143,1994,DS,Demokratska stranka,Demokratska stranka Slovenije,Democratic Party of Slovenia,0,0,renamed,Party in title,NA,Broad reference with country name,0,Social democracy,soc,3.3,3.5,3.5,NA,IIIrd wave in EE,NA,2
POL,148,1997,ROP,Ruch Odbudowy Polski,Ruch Odbudowy Polski,Movement for Reconstruction of Poland,0,0,split,No party in title,Movement,anti-elitism,0,Conservative,con,5.7895000000000003,5.2632,7,NA,IIIrd wave in EE,NA,1
POL,148,2005,ROP,Ruch Odbudowy Polski,Ruch Patriotyczny Rzeczypospolitej Polskiej,The Patriotic Movement of the Republic of Poland,0,0,merge,No party in title,Movement,anti-elitism,0,Conservative,con,5.7895000000000003,5.2632,7,NA,IIIrd wave in EE,NA,2
LUX,151,1945,KPL,Kommunistesch Partei Lëtzebuerg,Kommunistesch Partei Lëtzebuerg,Communist Party of Luxembourg,0,0,split from LSAP,Party in title,NA,communist,0,Communist/Socialist,com,1.3,1.4,3,NA,Ist or IInd wave,NA,1
BEL,161,1980,Ecolo,Écologistes Confédérés pour l'organisation de luttes originales,Écologistes Confédérés pour l'organisation de luttes originales,Confederate Ecologists for the Organisation of Original Struggles,0,0,foundation,No party in title,Federation,green,0,Green/Ecologist,eco,2.641,2.3887,1.3744000000000001,NA,Ist or IInd wave,1980,1
BEL,167,1945,BSP-PSB,Belgische Socialistische Partij – Parti Socialiste Belge,Belgische Socialistische Partij – Parti Socialiste Belge,Belgian Socialist Party,0,0,successor of BWP-POB,Party in title,NA,socialist,0,Social democracy,soc,2.5,3.5,3.5,NA,Ist or IInd wave,NA,1
ITA,176,1995,MSFT,Fiamma Tricolore,Movimento Sociale Fiamma Tricolore,Social Movement Tricolour Flame,0,0,split from AN,No party in title,Movement,Broad reference to values,0,Right-wing,right,9.5762,4.0871,9.4093,NA,Ist or IInd wave,NA,1
